Timestamp,birth_order,gender,word_original,word_standard,cdi_cat,age,"Did you record this event at the time it occurred, later, or is your report from memory?",Is there anything you'd like to add about the context in which this took place?,age_current,"What's your email address, if you",What's your email address,What do you study?
1/8/15 11:46,1,Female,BAba,Brown bear,Phrase,10.5,I recorded it within a week or so after,Very consistent,1,,,
1/8/15 11:46,1,Male,ra,Sarah,People,9,I recorded the word in a diary right around the time it occurred,,2.167,,,
1/8/15 11:48,1,Male,mama,Mama,People,12.03,I recorded it within a week or so after,,5,,,
1/8/15 11:49,2,Male,baba,Bye,Games and Routines,11.13,I recorded it within a week or so after,,3,,,
1/8/15 11:51,1,Male,ka (although there was a lot of variability),Encore,Games and Routines,12,I recorded the word in a diary right around the time it occurred,"I wasn't actually sure it was a word when he first produced it. He seemed pleased with the reaction he got (getting more food). I became more sure as he repeated it in various contexts, including asking for repetition of interesting events and yelling it at a toy with sound-induced-movement.",19,,,
1/8/15 11:56,1,Male,__,Uh-Oh,Sound Effect,11,I recorded it within a week or so after,"Was sitting in high chair, holding object off to side in anticipation of dropping it. Looked right at me, said [__], and then dropped it. 
First attempts at this word were mostly of the form [__] (around 11-12 mos), later followed by [___2] or [o:::___] with rising intonation on the [o:::] at about 12 1/2 mos, and finally as [__o:] around 13-14 mos.",22,,,
1/8/15 11:58,1,Male,mama' and 'baba',Mama,People,12,I recorded it within a week or so after,"Our son used these words consistently across contexts, sometimes to grab our attention",4.5,,,
1/8/15 11:59,1,Female,puppa,Dog,Animal,12,I recorded the word in a diary right around the time it occurred,"She stood up in her crib and delightfully exclaimed, ""Puppa!"", when the dog came into her room.",4,,,
1/8/15 12:01,2,Female,kaka,Poop,Action,11.5,I recorded it within a few months (no more than a year),"Used consistently when a full diaper was present (and ostensibly causing discomfort), although often used to indicate that the diaper was full of pee and not necessarily poo",8,,,
1/8/15 12:04,2,Female,baba,Bye,Games and Routines,15.2,I recorded it within a week or so after,"Was adopted from China at 13 1/2 mos, but produced no recognizable Chinsese words. At time of adopted babbled repeated sequences like [b_b_, w_w_, g_g_, m_m_] and a few more complex strings like [d_b_d_b_] and [b_d_]. Imitated some words like ""bye-bye"" that included sounds in her babbling repertoire, but did not use ""bye-bye"" spontaneously in appropriate context until 15 1/2 mos.
Two other early words emerged at about same time: ""uh-oh"" [__o] and ""peek-a-boo"" [b__bo].",16,,,
1/8/15 12:14,1,Female,ma,Milk,Food and Drink,12,"I never recorded it, and am just going from my memory of the original event","accompanied by the sign for MILK. within a week the phonological form switched from ma to mi. It has stayed at mi since that time (about 2 months). sign for MILK was dropped shortly afterward when she mastered the gesture for GOODBYE which shared phonological features with the sign MILK. 
Oh, just read the instructions, the first SIGN was MORE at 11;00-phonoogical form started out as the more ASL like version with the closed O hand that we use at home but was rapidly replaced with the daycare version using an index finger in contact with the non-dominant open palm. 
14 months we're at the sign+word ""two word"" stage.",1,,,
1/8/15 12:18,1,Male,[aei],[aesel'] ,People,11,I recorded it within a week or so after,I realized that it was the word addressing me when I noticed he repeated after my mother my name in that form,18,,,
1/8/15 12:18,1,Female,at,Cat,Animal,10,I recorded it within a week or so after,The word was accompanied by a point. She the. Continued to use this form every time she pointed to the cat,2,,,
1/8/15 12:21,1,Male,at (glottal stop onset),Hot,Descriptive,11.5,I recorded the word in a diary right around the time it occurred,"In the context of reaching toward a very large wood-burning stove that heated a small room while looking back at mom. This would have definitely been a very high frequency word in the input from parents at this time (warning him not to touch the stove). At that time, he only used the word in the context of reaching, pointing, or looking at the stove (most likely he thought it referred to the stove itself rather than the concept 'hot').",13,,,
1/8/15 12:28,1,Male,puh,Up,Action,13.53,I recorded it within a week or so after,"I focused on 'up' as a word to learn, emphasizing it every time I picked him up. I regularly released a heavily aspirated /p/ into his hair to give him some tactile cues. His first use was when he was at the gate that blocks the kitchen, lifted his arms and said ""puh."" He did the same at the sofa and has said it consistently since, sometimes lifting his arms, sometimes no. English is my L1. My wife's L1 is Spanish, and she stays at home with him - he is exposed to probably 80% Spanish during a day. My wife says ""oopah"" to him instead 'arriba' - this is a Chilean dialectal feature used with babies - they don't know it's a take on English 'up' (and maybe it's not - I don't know the history). The point is, the child heard something similar from both languages.",1.167,,,
1/8/15 12:33,1,Female,Mama,Mama,People,13,I recorded the word in a diary right around the time it occurred,,3.083,,,
1/8/15 12:38,1,Female,ba,Ball,Toy,10,I recorded the word in a diary right around the time it occurred,She wanted to play ball and went and got a ball from her toy box and said 'ba' and handed it to me.,15,,,
1/8/15 12:53,1,Female,del,Lid,Small Household Object,9,"I never recorded it, and am just going from my memory of the original event",,2,,,
1/8/15 13:28,1,Female,hi,Hi,Games and Routines,10,I recorded the word in a diary right around the time it occurred,"She used it in the context of seeing people. She used it to engage socially. Should would repeat it when others responded to her.
Child: Hi
Adult: Hi [Child's name]
Child: Hi
Adult: Hi [Child's name].
Child: Hi",2,,,
1/8/15 13:56,1,Male,mo,More,Action,14,"I never recorded it, and am just going from my memory of the original event",He wanted more milk.,23,,,
1/8/15 13:57,2,Female,uh oh,Up,Action,18,"I never recorded it, and am just going from my memory of the original event",She wanted to get out of her high chair.,20,,,
1/8/15 14:47,1,Male,dada,Dada,People,14,"I never recorded it, and am just going from my memory of the original event",was said when grandparents were present and dad left the room-- dada very clearly said while looking for dad.,1.8,,,
1/8/15 16:44,1,Male,Zeesus,Zebra,Animal,10,I recorded the word in a diary right around the time it occurred,He gestured and gazed toward a stuffed zebra.,7,,,
1/8/15 18:34,1,Male,dada,Dada,People,13,"I never recorded it, and am just going from my memory of the original event",Running towards his dad. He used this word only for his dad.,5,,,
1/8/15 19:31,1,Female,Uhbm,Up,Action,11.99,I recorded it within a few months (no more than a year),Usage was consistently with arms raised.,2.5,,,
