cdi_cat,word,word_standard
Sound Effects,baa baa,Baa Baa
Sound Effects,choo choo ,Choo Choo
Sound Effects,cockadoodledoo,Cockadoodledoo
Sound Effects,grrr,Grrr
Sound Effects,meow,Meow
Sound Effects,moo,Moo
Sound Effects,ouch,Ouch
Sound Effects,quack quack,Quack Quack
Sound Effects,uh oh,Uh Oh
Sound Effects,vroom,Vroom
Sound Effects,woof woof,Woof Woof
Sound Effects,yum yum,Yum Yum
Animals,alligator,Alligator
Animals,animal,Animal
Animals,ant,Ant
Animals,bear,Bear
Animals,bee,Bee
Animals,bird,Bird
Animals,bug,Bug
Animals,bunny,Bunny
Animals,butterfly ,Butterfly
Animals,cat,Cat
Animals,chicken,Chicken
Animals,cow,Cow
Animals,deer,Deer
Animals,dog,Dog
Animals,donkey,Donkey
Animals,duck,Duck
Animals,elephant,Elephant
Animals,fish,Fish
Animals,frog,Frog
Animals,giraffe,Giraffe
Animals,goose,Goose
Animals,hen,Hen
Animals,horse,Horse
Animals,kitty,Kitty
Animals,lamb,Lamb
Animals,lion,Lion
Animals,monkey,Monkey
Animals,moose,Moose
Animals,mouse,Mouse
Animals,owl,Owl
Animals,penguin,Penguin
Animals,pig,Pig
Animals,pony,Pony
Animals,puppy,Puppy
Animals,rooster,Rooster
Animals,sheep,Sheep
Animals,squirrel,Squirrel
Animals,teddybear,Teddybear
Animals,tiger,Tiger
Animals,turkey,Turkey
Animals,turtle,Turtle
Animals,wolf,Wolf
Animals,zebra,Zebra
Vehicles,airplane,Airplane
Vehicles,bicycle,Bicycle
Vehicles,boat,Boat
Vehicles,bus,Bus
Vehicles,car,Car
Vehicles,firetruck,Firetruck
Vehicles,helicopter,Helicopter
Vehicles,motorcycle,Motorcycle
Vehicles,sled,Sled
Vehicles,stroller,Stroller
Vehicles,tractor,Tractor
Vehicles,train,Train
Vehicles,tricycle,Tricycle
Vehicles,truck,Truck
Toys,ball,Ball
Toys,balloon,Balloon
Toys,bat,Bat
Toys,block,Block
Toys,book,Book
Toys,bubbles,Bubbles
Toys,chalk,Chalk
Toys,crayon,Crayon
Toys,doll,Doll
Toys,game,Game
Toys,glue,Glue
Toys,pen,Pen
Toys,pencil,Pencil
Toys,play dough,Play Dough
Toys,present,Present
Toys,puzzle,Puzzle
Toys,story,Story
Toys,toy,Toy
Food and Drink,apple,Apple
Food and Drink,applesauce,Applesauce
Food and Drink,banana,Banana
Food and Drink,beans,Beans
Food and Drink,bread,Bread
Food and Drink,butter,Butter
Food and Drink,cake,Cake
Food and Drink,candy,Candy
Food and Drink,carrots,Carrots
Food and Drink,cereal,Cereal
Food and Drink,cheerios,Cheerios
Food and Drink,cheese,Cheese
Food and Drink,chicken,Chicken
Food and Drink,chocolate,Chocolate
Food and Drink,coffee,Coffee
Food and Drink,coke,Coke
Food and Drink,cookie,Cookie
Food and Drink,corn,Corn
Food and Drink,cracker,Cracker
Food and Drink,donut,Donut
Food and Drink,drink,Drink
Food and Drink,egg,Egg
Food and Drink,fish,Fish
Food and Drink,food,Food
Food and Drink,french fries,French Fries
Food and Drink,grapes,Grapes
Food and Drink,green beans,Green Beans
Food and Drink,gum,Gum
Food and Drink,hamburger,Hamburger
Food and Drink,ice,Ice
Food and Drink,ice cream,Ice Cream
Food and Drink,jello,Jello
Food and Drink,jelly,Jelly
Food and Drink,juice,Juice
Food and Drink,lollipop,Lollipop
Food and Drink,meat,Meat
Food and Drink,melon,Melon
Food and Drink,milk,Milk
Food and Drink,muffin,Muffin
Food and Drink,noodles,Noodles
Food and Drink,nuts,Nuts
Food and Drink,orange,Orange
Food and Drink,pancake,Pancake
Food and Drink,peanut butter,Peanut Butter
Food and Drink,peas,Peas
Food and Drink,pickle,Pickle
Food and Drink,pizza,Pizza
Food and Drink,popcorn,Popcorn
Food and Drink,popsicle,Popsicle
Food and Drink,potato,Potato
Food and Drink,potato chip,Potato Chip
Food and Drink,pretzel,Pretzel
Food and Drink,pudding,Pudding
Food and Drink,pumpkin,Pumpkin
Food and Drink,raisin,Raisin
Food and Drink,salt,Salt
Food and Drink,sandwich,Sandwich
Food and Drink,sauce,Sauce
Food and Drink,soda/pop,Soda
Food and Drink,soup,Soup
Food and Drink,spaghetti,Spaghetti
Food and Drink,strawberry,Strawberry
Food and Drink,toast,Toast
