first_wd_original,first_wd_standard,cdi_cat
___‹___ç,___‹___ç,N/A
Aaji,Aaji,People
Abba,Abba,People
Abi,Abi,People
Abuca,Abuca,N/A
Ada,Ada,People
Ade,Ade,People
Adindaa,Adindaa,N/A
Again,Again,Time
Aj,Aj,People
Aja,Aja,N/A
Akoo,Akoo,N/A
Akuu,Aku,N/A
All Done,All Done,Games and Routines
Allah,Allah,People
Allah Akbar,Allah Akbar,People
Anna,Anna,People
Anne,Anne,People
Api,Api,People
Apple,Apple,Food and Drink
Asterix,Asterix,Animal
Auntie,Aunt,People
Aurora,Aurora,Outside Things
Avocado,Avocado,Food and Drink
Ayay,Ayay,People
Ba,Ba,Food and Drink
Baba,Baba,N/A
Baboom,Baboom,Sound Effects
Baby,Baby,People
Bad Dog,Bad Dog,Phrase
Badger,Badger,Animal
Bah,Bah,Sound Effects
Ball,Ball,Toy
Balloon,Balloon,Toy
Banana,Banana,Food and Drink
Bandit,Bandit,Animal
Bang,Bang,Sound Effects
Barney,Barney,Animal
Bastard,Bastard,N/A
Bate,Bate,N/A
Bates,Bates,Animal
Bath,Bath,Games and Routines
Bathroom,Bathroom,Furniture and Rooms
Batman,Batman,People
Bay,Bay,People
Bear,Bear,Animal
Bebe,Bebe,N/A
Bed,Bed,Furniture and Rooms
Bee,Bee,Animal
Beer,Beer,Food and Drink
Bekah,Bekah,People
Bide,Bide,People
Bike,Bike,Toy
Bil,Bil,N/A
Bink,Binky,Toy
Bird,Bird,Animal
Bitch,Bitch,N/A
Bite,Bite,Action
Bj,Bj,People
Blanket,Blanket,Small Household Objects
Block,Block,Toy
Blue,Blue,Descriptive
Bob,Bob,People
Boba,Boba,N/A
BoBo,BoBo,Animal
Bones,Bones,Animal
Boo,Boo,Sound Effect
BooBoo,Boo Boo,Sound Effects
Boobie,Boob,Body Parts
Booba,Booba,Toy
Booboo,Booboo,Animal
Book,Book,Toy
Boom,Boom,Sound Effects
Bot,Bottle,Food and Drink
Bow,Bow,Sound Effect
Bow Wow,Bow Wow,Animal
Bowers,Bowers,N/A
Bow,Bowl,Small Household Objects
Bread,Bread,Food and Drink
Bubby,Brother,People
Brr,Brr,Sound Effect
Bu-Da,Bu-Da,N/A
Buba,Buba,N/A
Bubba,Bubba,N/A
Bubble,Bubble,Toy
Buby,Buby,People
Buddy,Buddy,Animal
Bug,Bug,Animal
Buhbuh,Buhbuh,N/A
Bunger,Bunger,N/A
Bunny,Bunny,Animal
Bup,Bup,N/A
Bus,Bus,Vehicles
Buttons,Buttons,Clothing
Buzz,Buzz,Sound Effects
ByeBye,Bye,Games and Routines
Ca,Ca,N/A
Cali,Cali,Animal
Cameron,Cameron,People
Can I Have,Can I Have,Phrase
Candy,Candy,Food and Drink
Auto,Car,Vehicles
Cat,Cat,Animal
Catch,Catch,Action
Caw Cream,Caw Cream,Food and Drink
Ceecee,Ceecee,People
Cereal,Cereal,Food and Drink
Cheers,Cheers,Games and Routines
Cheese,Cheese,Food and Drink
Chi Chin,Chi Chin,People
Chicken,Chicken,Food and Drink
Chipotle,Chipotle,Food and Drink
Choc,Chocolate,Food and Drink
Choo,Choo,Animal
Choo Choo,Choo Choo,Toy
Clock,Clock,Small Household Objects
Coke,Coke,Food and Drink
Come,Come,Action
Cook,Cook,Action
Cookie,Cookie,Food and Drink
Orrie,Corrie,People
Cow,Cow,Animal
Cra,Cra,N/A
Cracker,Cracker,Food and Drink
